     R         lat       lng     Depth    SMdepth
   36.36929  -28.6543   14.6132  179.5394    0.0000
   36.46976  -28.6547   14.6122  179.4803    0.0000
   36.57022  -28.6550   14.6113  179.4005    0.0000
   36.67069  -28.6554   14.6104  179.3000    0.0000
   36.77116  -28.6558   14.6094  179.1785    0.0000
   36.87163  -28.6562   14.6085  179.0362    0.0000
   36.97210  -28.6566   14.6076  179.0000    0.0000
   37.07256  -28.6570   14.6067  179.0000    0.0000
   37.17303  -28.6574   14.6057  179.0000    0.0000
   37.27350  -28.6578   14.6048  179.0000    0.0000
   37.37397  -28.6582   14.6039  179.0000    0.0000
   37.47443  -28.6586   14.6029  179.0000    0.0000
   37.57490  -28.6590   14.6020  179.0000    0.0000
   37.67537  -28.6593   14.6011  179.0000    0.0000
   37.77584  -28.6597   14.6002  179.0000    0.0000
   37.87630  -28.6601   14.5992  179.0000    0.0000
   37.97677  -28.6605   14.5983  179.0000    0.0000
   38.07724  -28.6609   14.5974  179.0000    0.0000
   38.17771  -28.6613   14.5964  179.0000    0.0000
   38.27818  -28.6617   14.5955  179.0000    0.0000
   38.37864  -28.6621   14.5946  179.0000    0.0000
   38.47911  -28.6625   14.5937  179.0000    0.0000
   38.57958  -28.6629   14.5927  179.0000    0.0000
   38.68005  -28.6633   14.5918  179.0000    0.0000
   38.78051  -28.6636   14.5909  179.0137    0.0000
   38.88098  -28.6640   14.5900  179.0207    0.0000
   38.98145  -28.6644   14.5890  179.0189    0.0000
   39.08192  -28.6648   14.5881  179.0082    0.0000
   39.18238  -28.6652   14.5872  179.0308    0.0000
   39.28285  -28.6656   14.5862  179.0821    0.0000
   39.38332  -28.6660   14.5853  179.1246    0.0000
   39.48379  -28.6664   14.5844  179.1582    0.0000
   39.58426  -28.6668   14.5835  179.1830    0.0000
   39.68472  -28.6672   14.5825  179.1987    0.0000
   39.78519  -28.6676   14.5816  179.2057    0.0000
   39.88566  -28.6679   14.5807  179.2039    0.0000
   39.98613  -28.6683   14.5797  179.1932    0.0000
   40.08659  -28.6687   14.5788  179.1736    0.0000
   40.18706  -28.6691   14.5779  179.1451    0.0000
   40.28753  -28.6695   14.5770  179.1078    0.0000
   40.38800  -28.6699   14.5760  179.0615    0.0000
   40.48846  -28.6703   14.5751  179.0065    0.0000
   40.58893  -28.6707   14.5742  178.8402    0.0000
   40.68940  -28.6711   14.5732  178.6664    0.0000
   40.78987  -28.6715   14.5723  178.4984    0.0000
   40.89034  -28.6719   14.5714  178.3365    0.0000
   40.99080  -28.6722   14.5705  178.1804    0.0000
   41.09127  -28.6726   14.5695  178.0301    0.0000
   41.19174  -28.6730   14.5686  177.8859    0.0000
   41.29221  -28.6734   14.5677  177.7476    0.0000
   41.39267  -28.6738   14.5667  177.6151    0.0000
   41.49314  -28.6742   14.5658  177.4886    0.0000
   41.59361  -28.6746   14.5649  177.3681    0.0000
   41.69408  -28.6750   14.5640  177.2533    0.0000
   41.79454  -28.6754   14.5630  177.1444    0.0000
   41.89501  -28.6758   14.5621  177.0416    0.0000
   41.99548  -28.6761   14.5612  176.9447    0.0000
   42.09595  -28.6765   14.5602  176.8535    0.0000
   42.19641  -28.6769   14.5593  176.7684    0.0000
   42.29688  -28.6773   14.5584  176.6890    0.0000
